INFO,,,,sample details,,,,,,,sequencing details,,,genome stats,,,,,,,
Genus,Species,strain/sample ID,,"NCBI
BioSample",sex,stage,"sample
type","material
provider","collection
date","geographic
origin",nanopore,guppy model,Illumina,size (bp),"count
frags",N50 (bp),L50,"QV
(yak)","eQV
(yak)","QV
(PMD)",BUSCO v5 (diptera_odb10)
Drosphila,melanocephala,Dmln_DKP,D.melanocephala,SAMN37596475,male,adult,single fly,Donald K. Price,2010-12,"USA: Waikamoi Flumi, Maui, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","145,369,347",763,"1,807,593",23,33.925,35.293,-,"C:98.8%[S:98.3%,D:0.5%],F:0.5%,M:0.7%,n:3285"
Drosophila,melanogaster,14021-0231.36,D.melanogaster,SAMN37596497,male,adult,lab strain,R. Scott Hawley,missing,missing,"R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,NCBI,"142,078,093",50,"25,438,398",3,43,46.043,,"C:99.6%[S:99.2%,D:0.4%],F:0.3%,M:0.1%,n:3285"
Drosophila,melanosoma,Dmls_SHC-C174,D.melanosoma,SAMN37596561,female,adult,single fly,Samuel H. Church,2022-11-02,"USA: Kuia Natural Area Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","133,327,004",211,"3,981,990",12,44.132,46.054,-,"C:99.3%[S:98.7%,D:0.6%],F:0.6%,M:0.1%,n:3285"
Drosophila,melanosoma,Dmls_SHC-C177,D.melanosoma,SAMN37596562,male,adult,single fly,Samuel H. Church,2022-11-01,"USA: Koke'e State Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","133,151,279",395,"3,753,840",11,45.736,47.435,-,"C:99.4%[S:98.7%,D:0.7%],F:0.5%,M:0.1%,n:3285"
Drosophila,mercatorum,15082-1511.00,D.mercatorum,SAMN37596414,male,adult,lab strain,Patrick M. O'Grady,missing,"Brazil: Praia Grande, Sao Paulo","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","156,146,974",44,"9,372,816",5,38.2,39.7,-,"C:99.6%[S:99.3%,D:0.3%],F:0.3%,M:0.1%,n:3285"
Drosophila,meridiana,15081-1331.00,D.meridiana,SAMN37596417,male,adult,lab strain,Patrick M. O'Grady,missing,"USA: Palmetto Sate Park, TX","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","190,589,592",225,"7,945,430",7,30.157,31.484,-,"C:99.6%[S:99.0%,D:0.6%],F:0.3%,M:0.1%,n:3285"
Drosophila,meridionalis,15081-1344.00,D.meridionalis,SAMN37596448,female,adult,lab strain,Scott Pitnick,1958,Brazil: Angra dos Reis,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","175,405,655",68,"17,766,643",5,48.558,47.901,-,"C:99.5%[S:99.1%,D:0.4%],F:0.3%,M:0.2%,n:3285"
Drosophila,merina,merina_AK-JD,D.merina,SAMN37596423,male,adult,lab strain,Artyom Kopp,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","193,262,168",102,"22,261,538",4,33.499,40.033,-,"C:99.6%[S:99.1%,D:0.5%],F:0.3%,M:0.1%,n:3285"
Drosophila,mettleri,15081-1502.00,D.mettleri,SAMN37596444,female,adult,lab strain,Scott Pitnick,1983,"USA: Organ Pipe National Monument, Arizona","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","152,340,797",171,"20,225,147",4,39.433,39.075,-,"C:99.4%[S:99.1%,D:0.3%],F:0.5%,M:0.1%,n:3285"
Drosophila,mimetica,mimetica_AK,D.mimetica,SAMN37596428,male,adult,lab strain,Artyom Kopp,missing,Brunei,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","171,388,303",30,"31,092,300",3,32.869,32.869,-,"C:98.8%[S:98.4%,D:0.4%],F:0.2%,M:1.0%,n:3285"
Drosophila,mimica,Dmic_SHC-C044,D.mimica,SAMN37596549,male,adult,single fly,Samuel H. Church,2022-10-05,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","142,248,586",1271,"5,000,283",8,41.89,58.163,-,"C:99.1%[S:98.4%,D:0.7%],F:0.7%,M:0.2%,n:3285"
Drosophila,miranda,Dmir_TW22,D.miranda,SAMN37596492,female,adult,single fly,Thomas Werner,2021-07,"USA: Olympic Peninsula, WA","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","167,531,964",473,"31,161,471",3,34.868,41.019,-,"C:98.3%[S:96.9%,D:1.4%],F:1.6%,M:0.1%,n:3285"
Drosophila,monieri,monieri_AK-JD,D.monieri,SAMN37596424,male,adult,lab strain,Artyom Kopp,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","173,474,366",123,"6,771,795",7,33.603,43.975,-,"C:99.1%[S:98.6%,D:0.5%],F:0.5%,M:0.4%,n:3285"
Drosophila,montana,Dmon_MK-O21,D.montana,SAMN37596495,female,adult,single fly,Maaria Kankare,2002,Finland: Oulanka,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","166,842,547",2747,"340,449",135,34.752,37.886,-,"C:98.1%[S:97.3%,D:0.8%],F:0.3%,M:1.6%,n:3285"
Drosophila,montana,Dmon_TW-CO22-7,D.montana,SAMN37596575,male,adult,single fly,Thomas Werner,2022-07,"United States: Flatiron Campground, CO","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","191,706,396",3337,"1,323,835",30,40.833,42.629,-,"C:99.5%[S:98.7%,D:0.8%],F:0.5%,M:0.0%,n:3285"
Drosophila,mulleri,15081-1331.00,D.mulleri,SAMN37596412,male,adult,lab strain,Patrick M. O'Grady,missing,"USA: Palmetto State Park, TX","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","159,709,662",178,"7,964,008",5,34.9,41.0,-,"C:98.7%[S:98.2%,D:0.5%],F:0.2%,M:1.1%,n:3285"
Drosophila,multiciliata,Dmlt_SHC-C078,D.multiciliata,SAMN37596543,male,adult,single fly,Samuel H. Church,2022-10-18,"USA: Upper Waikea Forest Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","132,171,797",600,"13,307,071",4,41.578,41.578,-,"C:99.3%[S:98.7%,D:0.6%],F:0.6%,M:0.1%,n:3285"
Drosophila,neoperkinsi,Dnpe_DKP,D.neoperkinsi,SAMN37596510,male,adult,single fly,Donald K. Price,missing,USA: HI,"R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,-,"134,062,126",10455,"24,115",1563,-,-,47.572,"C:91.3%[S:89.7%,D:1.6%],F:0.6%,M:8.1%,n:3285"
Drosophila,neotestacea,Dnet_TW22,D.neotestacea,SAMN37596488,female,adult,single fly,Thomas Werner,2022-07,"USA: LL Stub Stewart State Park, OR","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","161,338,693",880,"2,465,813",19,32.399,32.399,-,"C:99.3%[S:98.7%,D:0.6%],F:0.5%,M:0.2%,n:3285"
Drosophila,neutralis,Dneu_SHC-C107,D.neutralis,SAMN37596539,male,adult,single fly,Samuel H. Church,2022-10-13,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","145,644,896",575,"5,990,569",7,43.929,43.816,-,"C:99.0%[S:97.7%,D:1.3%],F:0.9%,M:0.1%,n:3285"
Drosophila,nigricruria,15081-1381.06,D.nigricruria,SAMN37596453,female,adult,lab strain,Scott Pitnick,2004,"Mexico: El Tuito, Jalisco","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","176,748,853",236,"12,253,321",5,39.893,39.777,-,"C:99.6%[S:99.1%,D:0.5%],F:0.3%,M:0.1%,n:3285"
Drosophila,nigritarsus,Dnit_SHC-C060,D.nigritarsus,SAMN37596532,male,adult,single fly,Samuel H. Church,2022-10-06,"USA: Ola'a Forest Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","167,178,171",976,"6,580,780",6,25.11,28.136,-,"C:98.6%[S:97.1%,D:1.5%],F:1.2%,M:0.2%,n:3285"
Dettopsomyia,nigrovittata,Deni_MT38,D.nigrovittata,SAMN37596592,female,adult,single fly,Masanori J. Toda,2012-06,"Japan: Matsuyama, Ehime Pref.",-,-,"NovaSeq X Plus, 2x150","258,231,948","672,249",640,"78,872",-,-,-,"C:50.2%[S:49.3%,D:0.9%],F:25.8%,M:24.0%,n:3285"
Drosophila,niveifrons,DS 71,D.niveifrons,SAMN37596504,female,adult,lab strain,Jan Hrcek,2022,"Australia: Dinden, Queensland","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","153,014,204",75,"14,497,174",3,32.032,31.982,-,"C:99.5%[S:99.0%,D:0.5%],F:0.3%,M:0.2%,n:3285"
Drosophila,nr fundita,Dnrfun_SHC-C102,D.nr fundita,SAMN37596535,male,adult,single fly,Samuel H. Church,2022-10-13,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","136,603,901",1193,"3,946,148",9,39.655,39.655,-,"C:98.1%[S:97.0%,D:1.1%],F:1.4%,M:0.5%,n:3285"
Drosophila,nr medialis 2,Dnrmed2_SHC-C101,D.nr medialis 2,SAMN37596533,male,adult,single fly,Samuel H. Church,2022-10-13,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","137,750,540",440,"7,069,007",6,44.41,45.855,-,"C:98.9%[S:97.7%,D:1.2%],F:0.9%,M:0.2%,n:3285"
Drosophila,nr medialis 3,Dnrmed3_DKP,D.nr medialis 3,SAMN37596486,female,adult,single fly,Donald K. Price,2022-01,"USA: Tom's Trail, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","136,698,498",334,"3,480,823",16,25.896,27.446,,"C:98.7%[S:97.4%,D:1.3%],F:1.0%,M:0.3%,n:3285"
Drosophila,nr. perissopoda 1,Dnrprs1_SHC-C186,D.nr. perissopoda 1,SAMN37596557,male,adult,single fly,Samuel H. Church,2022-11-02,"USA: Kuia Natural Area Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","141,321,204",1034,"1,847,206",22,43.613,44.28,-,"C:98.5%[S:97.7%,D:0.8%],F:1.2%,M:0.3%,n:3285"
Drosophila,nr. perissopoda 5,Dnrprs5_SHC-C167,D.nr. perissopoda 5,SAMN37596558,male,adult,single fly,Samuel H. Church,2022-11-01,"USA: Na Pali Kona Forest Resrve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","137,240,638",851,"5,302,149",9,41.191,41.191,-,"C:98.6%[S:97.7%,D:0.9%],F:1.2%,M:0.2%,n:3285"
Drosophila,ochracea,Doch_DKP,D.ochracea,SAMN37596478,male,adult,single fly,Donald K. Price,2009-08-06,"USA: Hionamoa Gulch, Hawaii, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","136,309,676",711,"4,312,085",11,32.289,30.458,-,"C:99.0%[S:98.5%,D:0.5%],F:0.5%,M:0.5%,n:3285"
Drosophila,ochracea,Doch_SHC-C070,D.ochracea,SAMN37596550,male,adult,single fly,Samuel H. Church,2022-10-13,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","135,306,413",64,"13,012,772",4,46.636,46.636,-,"C:99.4%[S:98.9%,D:0.5%],F:0.5%,M:0.1%,n:3285"
Drosophila,pallidosa,nou 88,D.pallidosa,SAMN37596437,female,adult,lab strain,Scott Pitnick,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","153,406,098",8619,"111,022",271,31.272,35.069,-,"C:99.1%[S:98.2%,D:0.9%],F:0.3%,M:0.6%,n:3285"
Drosophila,paracracens,Dpcn_SHC-C089,D.paracracens,SAMN37596536,male,adult,single fly,Samuel H. Church,2022-10-18,"USA: Upper Waikea Forest Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","136,672,539",1077,"8,026,734",6,44.41,45.324,-,"C:98.8%[S:97.9%,D:0.9%],F:1.0%,M:0.2%,n:3285"
Drosophila,paramelanica,Dpam_TW21,D.paramelanica,SAMN37596472,female,adult,single fly,Thomas Werner,2021-08,"USA: Huron Mountains, MI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","145,052,346",690,"5,600,682",8,33.007,41.932,-,"C:99.2%[S:98.8%,D:0.4%],F:0.6%,M:0.2%,n:3285"
Drosophila,paranaensis,15082-1541.00,D.paranaensis,SAMN37596416,male,adult,lab strain,Patrick M. O'Grady,1956,Colombia: Villavicencio,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","162,676,536",258,"13,000,432",4,36.198,37.776,-,"C:99.3%[S:98.8%,D:0.5%],F:0.4%,M:0.3%,n:3285"
Drosophila,parthenogenetica,15181-2221.03,D.parthenogenetica,SAMN37596455,female,adult,lab strain,Scott Pitnick,2004,"Mexico: San Francisco, Nayarit","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","159,568,595",278,"9,363,011",7,43.941,43.214,-,"C:99.5%[S:99.0%,D:0.5%],F:0.2%,M:0.3%,n:3285"
Drosophila,paucipuncta,Dppn_DKP,D.paucipuncta,SAMN37596496,male,adult,single fly,Donald K. Price,missing,USA: HI,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,NCBI,"148,937,204",334,"32,042,612",2,25.725,25.643,-,"C:99.5%[S:99.1%,D:0.4%],F:0.4%,M:0.1%,n:3285"
Drosophila,pegasa,15081-1398.11,D.pegasa,SAMN37596498,male,adult,lab strain,Scott Pitnick,missing,"Mexico: Zapotitlan, Puebla","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","157,956,412",642,"7,245,279",6,37.727,38.101,-,"C:99.7%[S:99.2%,D:0.5%],F:0.2%,M:0.1%,n:3285"
Drosophila,peninsularis,15081-1401.00,D.peninsularis,SAMN37596420,male,adult,lab strain,Patrick M. O'Grady,missing,Puerto Rico: Rio Piedras Experimental Station.,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","153,065,513",90,"8,422,728",7,38.462,38.462,-,"C:99.4%[S:98.9%,D:0.5%],F:0.6%,M:0.0%,n:3285"
Drosophila,percnosoma,Dpes_SHC-C008,D.percnosoma,SAMN37596540,male,adult,single fly,Samuel H. Church,2022-10-10,"USA: Pu'u Maka'ala Natural Area Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","138,081,886",797,"2,688,829",14,42.25,44.027,-,"C:98.5%[S:97.2%,D:1.3%],F:1.1%,M:0.4%,n:3285"
Drosophila,phalerata,Dpha_DO21,D.phalerata,SAMN37596465,female,adult,single fly,Darren J. Obbard,2021-09-05,"United Kingdom: Penns in the Rocks, East Sussex, England","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","203,911,311",2100,"677,126",79,27.586,27.637,-,"C:96.6%[S:95.0%,D:1.6%],F:0.6%,M:2.8%,n:3285"
Drosophila,picticornis,Dpic_SHC-C172,D.picticornis,SAMN37596565,female,adult,single fly,Samuel H. Church,2022-11-02,"USA: Koke'e State Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","137,208,866",524,"24,269,455",3,44.086,48.729,-,"C:99.5%[S:99.1%,D:0.4%],F:0.5%,M:0.0%,n:3285"
Drosophila,planitibia,Dpla_DKP,D.planitibia,SAMN37596479,female,adult,single fly,Donald K. Price,missing,"USA: East Maui, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","134,152,801",122,"4,000,884",10,29.884,29.625,-,"C:98.6%[S:98.1%,D:0.5%],F:0.5%,M:0.9%,n:3285"
Drosophila,prostipennis,14022-0291.00,D.prostipennis,SAMN37596450,female,adult,lab strain,Scott Pitnick,1968,Taiwan: Wulai,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","194,385,441",8163,"502,352",67,31.341,30.962,-,"C:98.2%[S:97.0%,D:1.2%],F:1.8%,M:0.0%,n:3285"
Drosophila,pseudotakahashii,PH 171,D.pseudotakahashii,SAMN37596505,female,adult,lab strain,Jan Hrcek,2018,"Australia: Paluma, Queensland","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","191,280,646",290,"5,880,140",9,39.667,40.251,-,"C:99.6%[S:99.1%,D:0.5%],F:0.3%,M:0.1%,n:3285"
Drosophila,pseudotalamancana,15040-1191.00,D.pseudotalamancana,SAMN37596419,male,adult,lab strain,Patrick M. O'Grady,1955,El Salvador: San Salvador,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","132,638,452",1249,"740,092",59,36.474,40.244,-,"C:94.8%[S:94.4%,D:0.4%],F:0.3%,M:4.9%,n:3285"
Drosophila,pullipes,Dpul_DKP,D.pullipes,SAMN37596482,male,adult,single fly,Donald K. Price,2010-11-18,"USA: Army Rd, Hawaii, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","134,422,997",664,"1,951,204",18,36.026,36.278,-,"C:98.9%[S:98.3%,D:0.6%],F:0.6%,M:0.5%,n:3285"
Drosophila,putrida,Dput_TW21,D.putrida,SAMN37596467,male,adult,single fly,Thomas Werner,2021-06,"USA: Huron Mountains, MI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","150,775,697",1159,"3,315,485",13,31.038,31.038,-,"C:99.3%[S:98.7%,D:0.6%],F:0.5%,M:0.2%,n:3285"
Drosophila,quasianomalipes,Dqus_DKP,D.quasianomalipes,SAMN37596485,male,adult,single fly,Donald K. Price,2010-01-24,"USA: Nualolo Trail, Kauai, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","159,761,135",755,"1,319,094",31,29.09,29.012,-,"C:97.7%[S:97.0%,D:0.7%],F:0.9%,M:1.4%,n:3285"
Drosophila,quinaria,Dqui_CRE,D.quinaria,SAMN37596457,female,adult,lab strain,Scott Pitnick,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","190,504,675",635,"8,437,828",7,32.594,32.13,-,"C:98.6%[S:97.9%,D:0.7%],F:1.4%,M:0.0%,n:3285"
Drosophila,recens,Drec_TW22,D.recens,SAMN37596493,female,adult,single fly,Thomas Werner,2022-07,"USA: Huron Mountains, MI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","220,825,164",4641,"120,551",411,35.135,35.347,-,"C:97.8%[S:91.7%,D:6.1%],F:0.8%,M:1.4%,n:3285"
Drosophila,rellima,Drll_TW22,D.rellima,SAMN37596514,female,adult,single fly,Thomas Werner,2022-07,"USA: LL Stub Stewart State Park, OR","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","153,024,811",898,"6,047,347",7,32.891,34.951,-,"C:99.4%[S:98.9%,D:0.5%],F:0.4%,M:0.2%,n:3285"
Drosophila,repleta,15084-1611.06,D.repleta,SAMN37596499,male,adult,lab strain,Scott Pitnick,missing,Cuba: Siboney,"R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,-,"170,578,868",353,"4,643,569",9,-,-,40.038,"C:99.5%[S:99.1%,D:0.4%],F:0.4%,M:0.1%,n:3285"
Drosophila,robusta,Drob_TW21,D.robusta,SAMN37596470,female,adult,single fly,Thomas Werner,2021-08,"USA: Huron Mountains, MI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","162,539,374",606,"11,166,795",5,27.867,27.431,-,"C:99.5%[S:99.0%,D:0.5%],F:0.4%,M:0.1%,n:3285"
Drosophila,rubida,PH 161,D.rubida,SAMN37596506,female,adult,lab strain,Jan Hrcek,2017,"Australia: Paluma, Queensland","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","138,863,325",31,"26,394,667",3,45.525,45.525,-,"C:99.4%[S:99.1%,D:0.3%],F:0.5%,M:0.1%,n:3285"
Drosophila,seclusa,Dscl_SHC-C011,D.seclusa,SAMN37596529,male,adult,single fly,Samuel H. Church,2022-10-10,"USA: Pu'u Maka'ala Natural Area Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","135,676,904",916,"3,931,036",11,39.902,40.937,-,"C:97.9%[S:96.7%,D:1.2%],F:1.4%,M:0.7%,n:3285"
Drosophila,serrata,PLE 108,D.serrata,SAMN37596508,female,adult,lab strain,Jan Hrcek,2017,"Australia: Paluma, Queensland","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","174,651,249",396,"3,746,959",12,34.908,34.917,-,"C:99.6%[S:99.0%,D:0.6%],F:0.3%,M:0.1%,n:3285"
Drosophila,setosimentum,Dset_SHC-C195,D.setosimentum,SAMN37596566,female,adult,single fly,Samuel H. Church,2022-11-09,"USA: Pu'u Maka'ala Natural Area Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","136,911,074",97,"22,604,783",3,41.869,41.869,-,"C:99.4%[S:99.0%,D:0.4%],F:0.5%,M:0.1%,n:3285"
Drosophila,siamana,15111-1741.00,D.siamana,SAMN37596426,male,adult,lab strain,Artyom Kopp,1968,Cambodia: Siem Reap,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","149,801,888",171,"5,470,436",4,28.518,28.457,-,"C:98.8%[S:98.2%,D:0.6%],F:0.9%,M:0.3%,n:3285"
Drosophila,silvestris,Dsil_DKP,D.silvestris,SAMN37596484,male,adult,single fly,Donald K. Price,missing,USA: HI,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","139,756,479",181,"7,286,698",6,31.782,31.47,-,"C:99.5%[S:99.0%,D:0.5%],F:0.5%,M:0.0%,n:3285"
Drosophila,sordidapex,Dsrd_SHC-C027,D.sordidapex,SAMN37596541,male,adult,single fly,Samuel H. Church,2022-10-05,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","139,085,443",1482,"3,193,695",14,40.378,40.378,-,"C:98.6%[S:97.4%,D:1.2%],F:1.1%,M:0.3%,n:3285"
Drosophila,sordidula,15020-1121.01,D.sordidula,SAMN37596458,female,adult,lab strain,Scott Pitnick,1965,Japan: Sugadaira,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","166,348,895",385,"8,644,452",7,38.776,38.452,-,"C:99.5%[S:99.0%,D:0.5%],F:0.5%,M:0.0%,n:3285"
Drosophila,stalkeri,15081-1451.00,D.stalkeri,SAMN37596440,female,adult,lab strain,Scott Pitnick,missing,"USA: Saint Petersburg, FL","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","162,897,099",226,"29,995,461",3,39.824,40.363,-,"C:99.7%[S:99.4%,D:0.3%],F:0.2%,M:0.1%,n:3285"
Drosophila,suboccidentalis,Dsuo_TW22,D.suboccidentalis,SAMN37596515,female,adult,single fly,Thomas Werner,2022-07,"USA: Flatiron Campground, CO","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","182,989,171",2804,"518,160",79,27.069,27.198,-,"C:95.2%[S:94.2%,D:1.0%],F:4.6%,M:0.2%,n:3285"
Drosophila,subquinaria,Dsqu_TW22,D.subquinaria,SAMN37596513,female,adult,single fly,Thomas Werner,2022-07,"USA: LL Stub Stewart State Park, OR","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","194,544,650",3302,"236,195",198,34.919,35.275,-,"C:93.9%[S:91.6%,D:2.3%],F:6.0%,M:0.1%,n:3285"
Drosophila,subsilvestris,Dsus_DO21,D.subsilvestris,SAMN37596459,female,adult,single fly,Darren J. Obbard,2021-8,"United Kingdom: Penns in the Rocks, East Sussex, England","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","162,767,741",2305,"3,560,445",13,31.278,35.167,-,"C:99.5%[S:98.5%,D:1.0%],F:0.3%,M:0.2%,n:3285"
Drosophila,tanythrix,Dtan_DKP,D.tanythrix,SAMN37596469,male,adult,single fly,Donald K. Price,2022-01,"USA: Tom's Trail, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","145,075,418",543,"13,073,236",4,27.308,27.308,-,"C:98.9%[S:98.1%,D:0.8%],F:1.0%,M:0.1%,n:3285"
Drosophila,testacea,Dtes_DO21,D.testacea,SAMN37596461,female,adult,single fly,Darren J. Obbard,2021-9,"United Kingdom: Penns in the Rocks, East Sussex, England","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","164,007,512",1201,"1,937,950",21,30.934,34.47,-,"C:99.3%[S:98.4%,D:0.9%],F:0.6%,M:0.1%,n:3285"
Drosophila,trichaetosa,Dtch_SHC-C086,D.trichaetosa,SAMN37596530,male,adult,single fly,Samuel H. Church,2022-10-18,"USA: Upper Waikea Forest Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","136,293,988",783,"4,071,654",9,43.771,43.884,-,"C:98.7%[S:97.5%,D:1.2%],F:0.9%,M:0.4%,n:3285"
Drosophila,tripunctata,A5-2b1 F7-b1b,D.tripunctata,SAMN37596431,pooled male and female,adult,lab strain,"Sarah Diamond, Nicole Crown, Ryan Martin",2021,"USA: Cleveland Heights, OH","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","164,071,927",339,"5,007,959",9,27.592,29.996,-,"C:99.5%[S:98.8%,D:0.7%],F:0.2%,M:0.3%,n:3285"
